episode:154, score:6.827265280000002, epsilon:0.9979867000000663, global step:22236, avg_qmax:0.028126623808079725, memory:20000
episode:155, score:8.344066560000002, epsilon:0.997813900000072, global step:22428, avg_qmax:0.03260500563192181, memory:20000
episode:156, score:5.713727360000003, epsilon:0.9976888000000761, global step:22567, avg_qmax:0.030557702905196937, memory:20000
episode:157, score:2.9622431999999996, epsilon:0.9976240000000782, global step:22639, avg_qmax:0.03279121340407679, memory:20000
episode:158, score:7.50434944, epsilon:0.9974737000000832, global step:22806, avg_qmax:0.03173051635639931, memory:20000
episode:159, score:5.08476928, epsilon:0.9973783000000863, global step:22912, avg_qmax:0.027463896674508194, memory:20000
episode:160, score:26.178392960000007, epsilon:0.9972532000000904, global step:23051, avg_qmax:0.03728230962221571, memory:20000
episode:161, score:6.805691520000001, epsilon:0.9971218000000948, global step:23197, avg_qmax:0.03903956189496468, memory:20000
episode:162, score:5.97095296, epsilon:0.9970039000000986, global step:23328, avg_qmax:0.04077409911644823, memory:20000
episode:163, score:4.407685120000002, epsilon:0.9969130000001016, global step:23429, avg_qmax:0.03177601097170079, memory:20000
episode:164, score:6.3559616000000005, epsilon:0.9967897000001057, global step:23566, avg_qmax:0.03696146145136687, memory:20000
episode:165, score:29.933886719999986, epsilon:0.9965935000001122, global step:23784, avg_qmax:0.035278532235379065, memory:20000
episode:166, score:4.56533952, epsilon:0.9965026000001151, global step:23885, avg_qmax:0.03715326305073086, memory:20000
episode:167, score:6.596592000000003, epsilon:0.9963694000001195, global step:24033, avg_qmax:0.03812120293543951, memory:20000
episode:168, score:6.2364761600000005, epsilon:0.9962533000001234, global step:24162, avg_qmax:0.0391164150291173, memory:20000
episode:169, score:30.98436288, epsilon:0.9960409000001303, global step:24398, avg_qmax:0.040084972961853114, memory:20000
episode:170, score:5.710408320000001, epsilon:0.995928400000134, global step:24523, avg_qmax:0.03351473131775856, memory:20000
episode:171, score:8.390533120000006, epsilon:0.9957529000001398, global step:24718, avg_qmax:0.03830495423231369, memory:20000
episode:172, score:29.404499839999996, epsilon:0.9955819000001455, global step:24908, avg_qmax:0.03247080453132328, memory:20000
episode:173, score:5.692153600000002, epsilon:0.9954613000001494, global step:25042, avg_qmax:0.04187113722202493, memory:20000
episode:174, score:6.599911040000001, epsilon:0.995323600000154, global step:25195, avg_qmax:0.03011253695277607, memory:20000
episode:175, score:5.08476928, epsilon:0.9952219000001573, global step:25308, avg_qmax:0.03523279520460462, memory:20000
episode:176, score:5.692153600000002, epsilon:0.995110300000161, global step:25432, avg_qmax:0.02953342166579058, memory:20000
episode:177, score:6.805691520000002, epsilon:0.9949726000001655, global step:25585, avg_qmax:0.03338594308573436, memory:20000
episode:178, score:5.692153600000002, epsilon:0.9948547000001694, global step:25716, avg_qmax:0.03022123618719687, memory:20000
episode:179, score:30.381957120000003, epsilon:0.9946450000001763, global step:25949, avg_qmax:0.032819362325282056, memory:20000
episode:180, score:6.687865600000002, epsilon:0.9945217000001804, global step:26086, avg_qmax:0.031446660821237704, memory:20000
episode:181, score:7.346695040000002, epsilon:0.9943678000001854, global step:26257, avg_qmax:0.028753830250679402, memory:20000
episode:182, score:7.089469440000004, epsilon:0.9942166000001904, global step:26425, avg_qmax:0.029448289390919462, memory:20000
episode:183, score:6.390811520000002, epsilon:0.9940888000001946, global step:26567, avg_qmax:0.032730379548500964, memory:20000
episode:184, score:6.805691520000001, epsilon:0.9939493000001992, global step:26722, avg_qmax:0.0374876691449073, memory:20000
episode:185, score:7.051300480000001, epsilon:0.993805300000204, global step:26882, avg_qmax:0.0392696971190162, memory:20000
episode:186, score:6.370897279999999, epsilon:0.9936775000002082, global step:27024, avg_qmax:0.036432853768723954, memory:20000
episode:187, score:5.8332128, epsilon:0.9935542000002122, global step:27161, avg_qmax:0.030456019973341564, memory:20000
